Event Title,Date,Location,URL,Date_of_check
Zak Salaam India Expo ,Date: 4-7 January 2024,Location: Singapore Expo,https://zaksalaamindia.com/,16/04/2024 00:03:25
FSM INVEST EXPO 2024,Date: 6 January 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://event.fsmone.com/event/microsite/investexpo2024,16/04/2024 00:03:25
International Conference on Business Economics and Finance,Date: 8-9 January 2024,Location: Singapore,https://technoconferences.com/Conference/11829/ICBEF/,16/04/2024 00:03:25
Regional Outlook Forum 2024,Date: 10 January 2024,Location: Sands Expo & Convention Centre,https://www.iseas.edu.sg/rof2024/,16/04/2024 00:03:25
Singapore MotorShow 2024,Date: 11 – 14  January 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://motorshow.com.sg/,16/04/2024 00:03:25
International Conference on Supply Chain Management 2024,Date: 12 – 14  January 2024,Location: National University Of Singapore,https://www.scape.sg/venue/music-day-out-2024/,16/04/2024 00:03:25
Music Day Out! 2024,Date: 13 – 14  January 2024,Location: *SCAPE The Ground Theatre,https://www.scape.sg/venue/music-day-out-2024/,16/04/2024 00:03:25
Amazing Home & Design 2024,Date: 13 – 21 January 2024,Location: Singapore Expo,https://www.poyaevents.com/,16/04/2024 00:03:25
GSIC Summit APAC 2024,Date: 16 – 18  January 2024,"Location: OCBC Lounge, Singapore National Stadium",https://apac.gsic-summit.com/,16/04/2024 00:03:25
EY Alternative Fund Symposium 2024,Date: 17 January 2024,Location: Sands Expo & Convention Centre,https://www.ey.com/,16/04/2024 00:03:25
Commodity Trading Week APAC,Date: 24-25 January 2024,Location: Sands Expo & Convention Centre,https://apac.commoditytradingweek.com/,16/04/2024 00:03:25
"Solar Energy, Storage and Distribution Summit 2024",Date: 24-25 January 2024,"Location: Holiday Inn Singapore Atrium, an IHG Hotel",https://energycentral.com/event/solar-energy-storage-and-distribution-summit-2024,16/04/2024 00:03:25
Twilight Flea & Market,Date: 26-28 January 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://www.facebook.com/twilightfeast/,16/04/2024 00:03:25
ARTBOX,Date: 26-28 January 2024,Location: Singapore EXPO,https://www.artbox.sg/,16/04/2024 00:03:25
The Wedding Upmarket,Date: 27-28 January 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://twu.sg/about.html,16/04/2024 00:03:25
ARTBOX,Date: 2-4 February 2024,Location: Singapore EXPO,https://www.artbox.sg/,16/04/2024 00:03:25
Funworld @ Expo 2024,Date: 9-12 February 2024,Location: Singapore EXPO,https://www.makbesar.com/,16/04/2024 00:03:25
Halal Eid Expo 2024,Date: 10-12 February 2024,Location: Suntec Convention & Exhibition Centre,https://www.instagram.com/halalmarketonline.sg/,16/04/2024 00:03:25
Global Space and Technology Convention (GSTC) 2024,Date: 14-16 February 2024,"Location: Sheraton Towers, Singapore",https://www.space.org.sg/gstc/,16/04/2024 00:03:25
Venture Capital World Summit 2024,Date: 16 February 2024,Location: The Hive Carpenter,https://vcworldsummit.com/tickets/singapore-2024/,16/04/2024 00:03:25
Pets & Plants Extravaganza 2024,Date: 16-18 February 2024,Location: Suntec Convention & Exhibition Centre,https://www.instagram.com/petsandplantsextravaganza/,16/04/2024 00:03:25
Asia Comics Expo 2024,Date: 17 – 18 February 2024,Location: Suntec Convention & Exhibition Centre,https://www.cosfest.com/,16/04/2024 00:03:25
International Aviation Womens Association Conference 2024,Date: 19 February 2024,"Location: The Ritz-Carlton, Millenia Singapore",https://members.iawa.org/Calendar/moreinfo.php?eventid=46898,16/04/2024 00:03:25
Emergency Management for Airports Summit 2024,Date: 20-23 February 2024,Location: Singapore,https://www.equip-global.com/emergency-management-for-airports-summit,16/04/2024 00:03:25
The Singapore Aerospace Technology and Engineering Conference (SATEC),Date: 21 February 2024,Location: Suntec Convention & Exhibition Centre,https://satec2024.com/en/,16/04/2024 00:03:25
City Of Good Summit 2024,Date: 21-22 February 2024,Location: Suntec Convention & Exhibition Centre,https://www.thecompanyofgood.sg/company-of-good-summit,16/04/2024 00:03:25
Cyber Security Summit,Date: 22-23 February 2024,Location: Singapore,https://cybersecuritysummit/singapore/,16/04/2024 00:03:25
Babson Connect Worldwide 2024,Date: 22-24 February 2024,"Location: The Ritz-Carlton, Millenia Singapore",https://web.cvent.com/,16/04/2024 00:03:25
World Uni Expo @ Suntec,Date: 24 February 2024,Location: Suntec Convention & Exhibition Centre,https://expo.overseaseducation.sg/,16/04/2024 00:03:25
AI in Education Forum (APAC),Date: 27-29 February 2024,"Location: Singapore, Marriott Tang Plaza Hotel",https://charteredcertifications.com/learning/conference/FutureEdWithAI,16/04/2024 00:03:25
AHICE South East Asia 2024,Date: 27-29 February 2024,"Location: Pan Pacific Orchard, Singapore",https://ahiceconference.com/southeastasia/,16/04/2024 00:03:25
Aviation Festival Asia 2024,Date: 28-29 February 2024,Location: Suntec Convention & Exhibition Centre,https://www.terrapinn.com/exhibition/aviation-festival-asia/index.stm,16/04/2024 00:03:25
DMWF ASIA (Digital Marketing World Forum),Date: 28-29 February 2024,Location: Sands Expo & Convention Centre,https://www.digitalmarketing-conference.com/asia/,16/04/2024 00:03:25
Food & Beverage Fair 2024,Date: 29 February – 3 March 2024,Location: Singapore Expo,https://singaporefoodshows.com.sg/food-and-beverage-fair/,16/04/2024 00:03:25
Singapore Muslim Festival 2024,Date: 1-3 March 2024,Location: Singapore Expo,https://www.jamiyah.org.sg/,16/04/2024 00:03:25
NATAS Travel Fair 2024,Date: 1-3 March 2024,Location: Singapore Expo,https://www.natastravelfair.travel/,16/04/2024 00:03:25
Blockchain Festival Singapore,Date: 2 March 2024,Location: Sands Expo & Convention Centre,https://blockchainfestival.asia/,16/04/2024 00:03:25
Traders Fair Singapore,Date: 2 March 2024,Location: Sands Expo & Convention Centre,https://tradersfair.com/singapore/,16/04/2024 00:03:25
Dream Big Overseas University Fair 2024,Date: 2 March 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://www.therightu.com/,16/04/2024 00:03:25
My Home Grand Furniture and Reno Expo 2024,Date: 2-10 March 2024,Location: Singapore Expo,https://myhomeinternational.com.sg/,16/04/2024 00:03:25
18th World Congress of Anaesthesiologists (WCA2024) ,Date: 3-7 March 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://www.wca2024.org/,16/04/2024 00:03:25
BayHelix East-West Summit 2024,Date: 4-6 March 2024,"Location: Parkroyal Collection Marina Bay, Singapore",https://conferences.biocentury.com/east-west-summit,16/04/2024 00:03:25
12th International Singapore Lipid Symposium,Date: 5-8 March 2024,Location: National University of Singapore,https://sling.sg/news-events/isls/,16/04/2024 00:03:25
Asia Light Conference 2024,Date: 5-8 March 2024,Location: Sands Expo and Convention Centre,https://www.asiaphotonicsexpo.com/asialightconference,16/04/2024 00:03:25
Singapore’s MBA Fair,Date: 6 March 2024,Location: Singapore,https://qs.topuniversities.com/events/asia/singapore,16/04/2024 00:03:25
Marketing Exchange Forum 2024,Date: 6-7 March 2024,"Location: Dusit Thani Laguna Resort, Singapore",https://www.marketingexchange.co/,16/04/2024 00:03:25
Geo Connect Asia,Date: 6-7 March 2024,Location: Sands Expo & Convention Centre,https://www.GeoConnectAsia.com,16/04/2024 00:03:25
Drones & Uncrewed Asia,Date: 6-7 March 2024,Location: Sands Expo & Convention Centre,https://DronesAsia.com/,16/04/2024 00:03:25
Digital Construction Asia,Date: 6-7 March 2024,Location: Sands Expo & Convention Centre,https://www.geoconnectasia.com/digital-construction-asia,16/04/2024 00:03:25
Asia Photonics Expo (APE),Date: 6-8 March 2024,Location: Sands Expo & Convention Centre,https://www.asiaphotonicsexpo.com/,16/04/2024 00:03:25
Northeastern University Global Leadership Summit 2024,Date: 7-9 March 2024,Location: JW Marriott Hotel Singapore South Beach,https://gls.advancement.northeastern.edu/,16/04/2024 00:03:25
Singapore Budget Symposium ,Date: 8 March 2024,"Location:  Shangri-La Hotel, Singapore",https://www.sbf.org.sg/events/singaporebudgetsymposium,16/04/2024 00:03:25
Asia Conference on Electronic Technology,Date: 8-10 March 2024,"Location: Hotel Grand Pacific, Singapore",https://acet.net/,16/04/2024 00:03:25
PDA Pharma Career Day 2024,Date: 9 March 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://www.eventbrite.sg/e/pda-pharma-career-day-2024,16/04/2024 00:03:25
Not So Little Fair 2024,Date: 9-10 March 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://notsolittlefair.com/,16/04/2024 00:03:25
Data Innovation Summit APAC 2024,Date: 13 March 2024,Location: Fairmont Singapore,https://apac.datainnovationsummit.com/,16/04/2024 00:03:25
Spikes Asia,Date: 13-14 March 2024,Location: Conrad Centennial Singapore,https://www.spikes.asia/,16/04/2024 00:03:25
Innovation Nexus Connect,Date: 14 March 2024,"Location:  JTC LaunchPad, One-North, Singapore",https://www.sginnovate.com/event/innovation-nexus-connect-where-artificial-intelligence-drives-revolution,16/04/2024 00:03:25
Singapore Youth Sport Pathways Conference 2024,Date: 14-15 March 2024,"Location: Singapore Sports Hub, Black Box Auditorium",https://syspc2024.com/,16/04/2024 00:03:25
IT Show 2024,Date: 14-17 March 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://www.comexitshow.com.sg/sg,16/04/2024 00:03:25
HR & WorkTech Asia Summit 2024,Date: 15 March 2024,"Location: Marriott Tang Plaza Hotel, Singapore",https://hrworkplaceshow.com/singapore2024,16/04/2024 00:03:25
BuildTech Asia,Date: 19-21 March 2024,Location: Singapore Expo,https://www.buildtechasia.com/sg,16/04/2024 00:03:25
FX Markets Asia 2024,Date: 20-21 March 2024,Location: Sands Expo & Convention Centre,https://events.fx-markets.com/asia,16/04/2024 00:03:25
Brand Safety Summit Asia,Date: 21 March 2024,"Location: ParkRoyal Collection, Pickering ",https://brandsafetysummit.com/singapore,16/04/2024 00:03:25
Global Conference on Gynecology & Women’s Health 2024,Date: 21-23 March 2024,Location: Sands Expo & Convention Centre,https://gynecology.magnusconferences.com/,16/04/2024 00:03:25
SFA FinTech Forum 2024,Date: 22 March 2024,"Location: Carlton Hotel, Singapore",https://singaporefintech.org/event/sfa-fintech-forum-2024/,16/04/2024 00:03:25
Vanité World 2024,Date: 23-24 March 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://www.vanite.world/,16/04/2024 00:03:25
Healthcare Asia Summit 2024,Date: 25 March 2024,Location: Andaz Singapore,https://healthcareasiamagazine.com/event/healthcare-asia-summit-2024,16/04/2024 00:03:25
NFAP 2024 – Human Nutrition & Functional Food Asia Pacific Summit,Date: 25-26 March 2024,Location: Sands Expo & Convention Centre,https://nfap2024.com/,16/04/2024 00:03:25
STACKx Smart City,Date: 27 March 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://www.developer.tech.gov.sg/,16/04/2024 00:03:25
PDI APAC Forum,Date: 27-28 March 2024,Location: Sands Expo & Convention Centre,https://www.peievents.com/en/event/pdi-apac-forum/,16/04/2024 00:03:25
ZAK Salaam India Expo,Date: 28-31 March 2024,Location: Singapore Expo,https://zaksalaamindia.com/,16/04/2024 00:03:25
Celebfest 2024,Date: 29-31 March 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://www.instagram.com/celebfestsg/,16/04/2024 00:03:25
Maritime Decarbonisation Conference Asia 2024,Date: 3-4 April 2024,Location: Four Points by Sheraton Singapore Riverview,https://www.rivieramm.com/events/events/maritime-decarbonisation-conference-asia-2024,16/04/2024 00:03:25
CS4CA APAC & APAC Cyber Summit 2024,Date: 3-4 April 2024,Location: Sands Expo & Convention Centre,https://apac.cs4ca.com/,16/04/2024 00:03:25
