Event Title,Date,Location,URL,Date_of_check
Unable to extract event title,Date: 4-7 January 2024,Location: Singapore Expo,https://zaksalaamindia.com/,15/04/2024 23:59:57
Unable to extract event title,Date: 6 January 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://event.fsmone.com/event/microsite/investexpo2024,15/04/2024 23:59:57
Unable to extract event title,Date: 8-9 January 2024,Location: Singapore,https://technoconferences.com/Conference/11829/ICBEF/,15/04/2024 23:59:57
Unable to extract event title,Date: 10 January 2024,Location: Sands Expo & Convention Centre,https://www.iseas.edu.sg/rof2024/,15/04/2024 23:59:57
Unable to extract event title,Date: 11 – 14  January 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://motorshow.com.sg/,15/04/2024 23:59:57
Unable to extract event title,Date: 12 – 14  January 2024,Location: National University Of Singapore,https://www.scape.sg/venue/music-day-out-2024/,15/04/2024 23:59:57
Unable to extract event title,Date: 13 – 14  January 2024,Location: *SCAPE The Ground Theatre,https://www.scape.sg/venue/music-day-out-2024/,15/04/2024 23:59:57
Unable to extract event title,Date: 13 – 21 January 2024,Location: Singapore Expo,https://www.poyaevents.com/,15/04/2024 23:59:57
Unable to extract event title,Date: 16 – 18  January 2024,"Location: OCBC Lounge, Singapore National Stadium",https://apac.gsic-summit.com/,15/04/2024 23:59:57
Unable to extract event title,Date: 17 January 2024,Location: Sands Expo & Convention Centre,https://www.ey.com/,15/04/2024 23:59:57
Unable to extract event title,Date: 24-25 January 2024,Location: Sands Expo & Convention Centre,https://apac.commoditytradingweek.com/,15/04/2024 23:59:57
Unable to extract event title,Date: 24-25 January 2024,"Location: Holiday Inn Singapore Atrium, an IHG Hotel",https://energycentral.com/event/solar-energy-storage-and-distribution-summit-2024,15/04/2024 23:59:57
Unable to extract event title,Date: 26-28 January 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://www.facebook.com/twilightfeast/,15/04/2024 23:59:57
Unable to extract event title,Date: 26-28 January 2024,Location: Singapore EXPO,https://www.artbox.sg/,15/04/2024 23:59:57
Unable to extract event title,Date: 27-28 January 2024,Location: Suntec Singapore Convention & Exhibition Centre,https://twu.sg/about.html,15/04/2024 23:59:57
Unable to extract event title,Date: 2-4 February 2024,Location: Singapore EXPO,https://www.artbox.sg/,15/04/2024 23:59:57
Unable to extract event title,Date: 9-12 February 2024,Location: Singapore EXPO,https://www.makbesar.com/,15/04/2024 23:59:57
Unable to extract event title,Date: 10-12 February 2024,Location: Suntec Convention & Exhibition Centre,https://www.instagram.com/halalmarketonline.sg/,15/04/2024 23:59:57
Unable to extract event title,Date: 14-16 February 2024,"Location: Sheraton Towers, Singapore",https://www.space.org.sg/gstc/,15/04/2024 23:59:57
Unable to extract event title,Date: 16 February 2024,Location: The Hive Carpenter,https://vcworldsummit.com/tickets/singapore-2024/,15/04/2024 23:59:57
Unable to extract event title,Date: 16-18 February 2024,Location: Suntec Convention & Exhibition Centre,https://www.instagram.com/petsandplantsextravaganza/,15/04/2024 23:59:57
Unable to extract event title,Date: 17 – 18 February 2024,Location: Suntec Convention & Exhibition Centre,https://www.cosfest.com/,15/04/2024 23:59:57
Unable to extract event title,Date: 19 February 2024,"Location: The Ritz-Carlton, Millenia Singapore",https://members.iawa.org/Calendar/moreinfo.php?eventid=46898,15/04/2024 23:59:57
Unable to extract event title,Date: 20-23 February 2024,Location: Singapore,https://www.equip-global.com/emergency-management-for-airports-summit,15/04/2024 23:59:57
Unable to extract event title,Date: 21 February 2024,Location: Suntec Convention & Exhibition Centre,https://satec2024.com/en/,15/04/2024 23:59:57
Unable to extract event title,Date: 21-22 February 2024,Location: Suntec Convention & Exhibition Centre,https://www.thecompanyofgood.sg/company-of-good-summit,15/04/2024 23:59:57
Unable to extract event title,Date: 22-23 February 2024,Location: Singapore,https://cybersecuritysummit/singapore/,15/04/2024 23:59:57
